label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
openingHours					CivicStructure, LocalBusiness	Text				"The general opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'.<br/><br/>

<ul>
<li>Days are specified using the following two-letter combinations: <code>Mo</code>, <code>Tu</code>, <code>We</code>, <code>Th</code>, <code>Fr</code>, <code>Sa</code>, <code>Su</code>.</li>
<li>Times are specified using 24:00 format. For example, 3pm is specified as <code>15:00</code>, 10am as <code>10:00</code>. </li>
<li>Here is an example: <code>&lt;time itemprop=""openingHours"" datetime=&quot;Tu,Th 16:00-20:00&quot;&gt;Tuesdays and Thursdays 4-8pm&lt;/time&gt;</code>.</li>
<li>If a business is open 7 days a week, then it can be specified as <code>&lt;time itemprop=&quot;openingHours&quot; datetime=&quot;Mo-Su&quot;&gt;Monday through Sunday, all day&lt;/time&gt;</code>.</li>
</ul>"
openingHoursSpecification					Place	OpeningHoursSpecification				The opening hours of a certain place.
opens					OpeningHoursSpecification	Time				The opening hour of the place or service on the given day(s) of the week.
operatingSystem					SoftwareApplication	Text				Operating systems supported (Windows 7, OS X 10.6, Android 1.6).
opponent		participant			ExerciseAction	Person				A sub property of participant. The opponent on this action.
option		object			ChooseAction	Text, Thing			actionOption	A sub property of object. The options subject to this action.
orderDate					Order	Date, DateTime				Date order was placed.
orderDelivery					Order, OrderItem	ParcelDelivery				The delivery of the parcel related to this order or order item.
orderItemNumber					OrderItem	Text				The identifier of the order item.
orderItemStatus					OrderItem	OrderStatus				The current status of the order item.
orderNumber		identifier			Order	Text				The identifier of the transaction.
orderQuantity					OrderItem	Number				The number of the item ordered. If the property is not set, assume the quantity is one.
orderStatus					Order	OrderStatus				The current status of the order.
orderedItem					Order, OrderItem	OrderItem, Product, Service				The item ordered.
organizer					Event	Organization, Person				An organizer of an Event.
originAddress					ParcelDelivery	PostalAddress				Shipper's address.
originalMediaContextDescription	pending:	description			MediaReview	Text				"Describes, in a <a class=""localLink"" href=""/MediaReview"">MediaReview</a> when dealing with <a class=""localLink"" href=""/DecontextualizedContent"">DecontextualizedContent</a>, background information that can contribute to better interpretation of the <a class=""localLink"" href=""/MediaObject"">MediaObject</a>."
originalMediaLink	pending:				MediaReview	MediaObject, URL, WebPage				"Link to the page containing an original version of the content, or directly to an online copy of the original <a class=""localLink"" href=""/MediaObject"">MediaObject</a> content, e.g. video file."
originatesFrom					LymphaticVessel	Vessel				The vasculature the lymphatic structure originates, or afferents, from.
overdosage					Drug	Text				Any information related to overdose on a drug, including signs or symptoms, treatments, contact information for emergency response.
ownedFrom					OwnershipInfo	DateTime				The date and time of obtaining the product.
ownedThrough					OwnershipInfo	DateTime				The date and time of giving up ownership on the product.
ownershipFundingInfo	pending:	publishingPrinciples			NewsMediaOrganization, Organization	AboutPage, CreativeWork, Text, URL				"For an <a class=""localLink"" href=""/Organization"">Organization</a> (often but not necessarily a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a description of organizational ownership structure; funding and grants. In a news/media setting, this is with particular reference to editorial independence.   Note that the <a class=""localLink"" href=""/funder"">funder</a> is also available and can be used to make basic funder information machine-readable."
owns					Organization, Person	OwnershipInfo, Product				Products owned by the organization or person.
pageEnd			http://purl.org/ontology/bibo/pageEnd		Article, Chapter, PublicationIssue, PublicationVolume	Integer, Text				"The page on which the work ends; for example ""138"" or ""xvi""."
pageStart			http://purl.org/ontology/bibo/pageStart		Article, Chapter, PublicationIssue, PublicationVolume	Integer, Text				"The page on which the work starts; for example ""135"" or ""xiii""."
pagination			http://purl.org/ontology/bibo/pages		Article, Chapter, PublicationIssue, PublicationVolume	Text				"Any description of pages that is not separated into pageStart and pageEnd; for example, ""1-6, 9, 55"" or ""10-12, 46-49""."
parent					Person	Person		parents		A parent of this person.
parentItem					Comment	Comment				The parent of a question, answer or item in general.
parentOrganization					Organization	Organization	subOrganization	branchOf		"The larger organization that this organization is a <a class=""localLink"" href=""/subOrganization"">subOrganization</a> of, if any."
parentService					BroadcastService	BroadcastService				A broadcast service to which the broadcast service may belong to such as regional variations of a national channel.
parentTaxon	pending:				Taxon	Taxon, Text, URL	childTaxon			Closest parent taxon of the taxon in question.
parents					Person	Person			parent	A parents of the person.
partOfEpisode		isPartOf			Clip	Episode				The episode to which this clip belongs.
partOfInvoice					Order	Invoice				The order is being paid as part of the referenced Invoice.
partOfOrder					ParcelDelivery	Order				The overall order the items in this delivery were included in.
partOfSeason		isPartOf			Clip, Episode	CreativeWorkSeason				The season to which this episode belongs.
partOfSeries		isPartOf			Clip, CreativeWorkSeason, Episode	CreativeWorkSeries		partOfTVSeries		The series to which this episode or season belongs.
partOfSystem					AnatomicalStructure	AnatomicalSystem				The anatomical or organ system that this structure is part of.
partOfTVSeries		isPartOf			TVClip, TVEpisode, TVSeason	TVSeries			partOfSeries	The TV series to which this episode or season belongs.
partOfTrip	pending:				Trip	Trip	subTrip			"Identifies that this <a class=""localLink"" href=""/Trip"">Trip</a> is a subTrip of another Trip.  For example Day 1, Day 2, etc. of a multi-day trip."
participant				borrower, buyer, endorsee, landlord, lender, loser, opponent, realEstateAgent, recipient, seller, sender, sportsTeam, vendor, winner	Action	Organization, Person				Other co-agents that participated in the action indirectly. E.g. John wrote a book with <em>Steve</em>.
partySize					FoodEstablishmentReservation, TaxiReservation	Integer, QuantitativeValue				Number of people the reservation should accommodate.
passengerPriorityStatus					FlightReservation	QualitativeValue, Text				The priority status assigned to a passenger for security or boarding (e.g. FastTrack or Priority).
passengerSequenceNumber					FlightReservation	Text				The passenger's sequence number as assigned by the airline.
pathophysiology					MedicalCondition, PhysicalActivity	Text				Changes in the normal mechanical, physical, and biochemical functions that are associated with this activity or condition.
pattern	pending:				CreativeWork, Product	DefinedTerm, Text				A pattern that something has, for example 'polka dot', 'striped', 'Canadian flag'. Values are typically expressed as text, although links to controlled value schemes are also supported.
payload	https://auto.schema.org				Vehicle	QuantitativeValue				"The permitted weight of passengers and cargo, EXCLUDING the weight of the empty vehicle.<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: Many databases specify the permitted TOTAL weight instead, which is the sum of <a class=""localLink"" href=""/weight"">weight</a> and <a class=""localLink"" href=""/payload"">payload</a></li>
<li>Note 2: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 3: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a>.</li>
<li>Note 4: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
